split,leak,label,model,features,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Pearson_r_mean,Pearson_r_std
random,True,kNN,knn,circular+expert,0.6178,0.0,2.0627,0.0,1.5779,0.0,0.7888,0.0
random,True,RF,rf,circular+expert,0.7256,0.0077,1.7478,0.0245,1.3044,0.0212,0.8546,0.005
random,True,SVR,svr,circular+expert,0.731,0.0,1.7308,0.0,1.3615,0.0,0.8714,0.0
random,True,LightGBM,lgbm,circular+expert,0.7595,0.0081,1.6361,0.0277,1.1838,0.0219,0.8719,0.0047
random,True,MLP,mlp,circular+expert,0.8123,0.0107,1.445,0.0414,1.0978,0.0293,0.9023,0.0064
random,True,MLP-GROVER,mlp,grover,0.52,0.0238,2.3111,0.0572,1.8181,0.0457,0.7295,0.0124
random,True,MLP-all,mlp,circular+expert+grover,0.7623,0.0175,1.6257,0.0597,1.1947,0.0467,0.8754,0.0098
random,False,kNN,knn,circular+expert,0.6226,0.0,2.05,0.0,1.5681,0.0,0.7916,0.0
random,False,RF,rf,circular+expert,0.7243,0.0073,1.7519,0.0231,1.3085,0.0195,0.8539,0.0047
random,False,SVR,svr,circular+expert,0.7292,0.0,1.7365,0.0,1.3603,0.0,0.8715,0.0
random,False,LightGBM,lgbm,circular+expert,0.7561,0.0098,1.6476,0.0331,1.1958,0.0276,0.8699,0.0058
random,False,MLP,mlp,circular+expert,0.8047,0.0131,1.4738,0.05,1.1118,0.0414,0.8988,0.0064
scaffold,True,kNN,knn,circular+expert,0.5946,0.0,1.7864,0.0,1.4049,0.0,0.7879,0.0
scaffold,True,RF,rf,circular+expert,0.4453,0.0209,2.0892,0.0393,1.6021,0.0311,0.6757,0.0133
scaffold,True,SVR,svr,circular+expert,0.3162,0.0,2.32,0.0,1.9803,0.0,0.6416,0.0
scaffold,True,LightGBM,lgbm,circular+expert,0.4496,0.0265,2.081,0.0506,1.6422,0.0387,0.6796,0.0169
scaffold,True,MLP,mlp,circular+expert,0.4868,0.0552,2.0068,0.1096,1.6181,0.0771,0.7199,0.027
scaffold,True,MLP-GROVER,mlp,grover,0.2258,0.0436,2.4677,0.0696,1.9535,0.0924,0.5426,0.0558
scaffold,True,MLP-all,mlp,circular+expert+grover,0.2541,0.139,2.4119,0.2327,1.9758,0.255,0.6434,0.0437
scaffold,False,kNN,knn,circular+expert,-0.122,0.0,2.9719,0.0,2.4454,0.0,0.4138,0.0
scaffold,False,RF,rf,circular+expert,0.447,0.0189,2.0861,0.0358,1.5963,0.0184,0.676,0.0112
scaffold,False,SVR,svr,circular+expert,-1.4787,0.0,4.4172,0.0,3.7486,0.0,0.042,0.0
scaffold,False,LightGBM,lgbm,circular+expert,0.4468,0.0223,2.0864,0.0421,1.6561,0.0378,0.6788,0.0131
scaffold,False,MLP,mlp,circular+expert,-638482.1826,373726.0196,2065.3619,871.9289,1969.3841,831.3504,0.0294,0.0017
scaffold_balanced,True,kNN,knn,circular+expert,-0.1932,0.0,3.0224,0.0,2.1858,0.0,0.1938,0.0
scaffold_balanced,True,RF,rf,circular+expert,0.2729,0.0502,2.358,0.0816,2.081,0.0824,0.6391,0.0248
scaffold_balanced,True,SVR,svr,circular+expert,0.1369,0.0,2.5706,0.0,2.2671,0.0,0.4504,0.0
scaffold_balanced,True,LightGBM,lgbm,circular+expert,0.4537,0.0349,2.0441,0.0654,1.695,0.0532,0.6891,0.0299
scaffold_balanced,True,MLP,mlp,circular+expert,0.1762,0.1399,2.5021,0.2144,2.1026,0.177,0.4015,0.3058
scaffold_balanced,True,MLP-GROVER,mlp,grover,-0.2303,0.0852,3.0672,0.1078,2.3188,0.0536,0.1736,0.0253
scaffold_balanced,True,MLP-all,mlp,circular+expert+grover,0.097,0.079,2.6269,0.1145,2.0985,0.1254,0.4439,0.0844
scaffold_balanced,False,kNN,knn,circular+expert,-0.1071,0.0,2.9113,0.0,2.0832,0.0,0.274,0.0
scaffold_balanced,False,RF,rf,circular+expert,0.4114,0.0207,2.1224,0.037,1.8142,0.0321,0.6799,0.02
scaffold_balanced,False,SVR,svr,circular+expert,-1.0679,0.0,3.9789,0.0,3.488,0.0,0.4566,0.0
scaffold_balanced,False,LightGBM,lgbm,circular+expert,0.4588,0.0409,2.0342,0.0766,1.6949,0.064,0.6926,0.0322
scaffold_balanced,False,MLP,mlp,circular+expert,0.1269,0.1466,2.5759,0.2217,2.2059,0.1835,0.3738,0.3271
